"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,33.2936604934261,0.28441647743571963
1000.0,0.0,69.17355556785348,0.418708087547742
2000.0,0.0,141.04486404890554,0.5474982554956682
3000.0,0.0,212.78607976029934,0.7308055897053407
4000.0,0.0,284.65294437676914,0.8170256516968948
5000.0,0.0,354.2263338054619,0.8883466863883882
6000.0,0.0,426.40071065301856,0.9766130255375742
7000.0,0.0,501.21820023866786,0.9934100275877711
8000.0,0.0,568.6587124513771,1.1831571968719459
9000.0,0.0,640.9261929065939,1.2740186589973064
10000.0,0.0,712.0805516651546,1.333717663673724
