"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,10.849288682568552,0.12102696321293926
1000.0,0.0,22.81058799914613,0.1635066326941157
2000.0,0.0,46.68595045248338,0.2484041409555644
3000.0,0.0,70.68410316613144,0.2897133952898372
4000.0,0.0,94.35246052242448,0.3496131275346954
5000.0,0.0,118.6371914141265,0.37596496036785254
6000.0,0.0,142.4741731579134,0.42544345865766786
7000.0,0.0,165.47222202852237,0.441391675675618
8000.0,0.0,189.1146444500114,0.5214432894137104
9000.0,0.0,213.96874238383992,0.5132580376409948
10000.0,0.0,238.31652859869993,0.487873481254411
